id,date,country,recovered
820,2020-03-24,United Kingdom,73
822,2020-03-24,US,170
824,2020-03-25,"Korea, South",223
826,2020-03-25,United Kingdom,0
828,2020-03-25,US,13
830,2020-03-26,"Korea, South",414
832,2020-03-26,United Kingdom,10
834,2020-03-26,US,320
836,2020-03-27,"Korea, South",384
838,2020-03-27,United Kingdom,1
840,2020-03-27,US,188
842,2020-03-28,"Korea, South",283
844,2020-03-28,United Kingdom,0
846,2020-03-28,US,203
848,2020-03-29,"Korea, South",222
850,2020-03-29,United Kingdom,0
852,2020-03-29,US,1593
854,2020-03-30,"Korea, South",195
856,2020-03-30,United Kingdom,20
858,2020-03-30,US,2979
860,2020-03-31,"Korea, South",180
862,2020-03-31,United Kingdom,8
864,2020-03-31,US,1380
866,2020-04-01,"Korea, South",159
868,2020-04-01,United Kingdom,0
870,2020-04-01,US,1450
872,2020-04-02,"Korea, South",261
874,2020-04-02,United Kingdom,13
876,2020-04-02,US,527
878,2020-04-03,"Korea, South",193
880,2020-04-03,United Kingdom,16
882,2020-04-03,US,706
884,2020-04-04,"Korea, South",304
886,2020-04-04,United Kingdom,7
888,2020-04-04,US,4945
913,2020-04-09,Italy,1979
916,2020-04-09,United Kingdom,14
926,2020-04-11,Italy,2079
927,2020-04-11,"Korea, South",126
928,2020-04-11,Spain,3441
929,2020-04-11,United Kingdom,34
931,2020-04-11,France,1468
932,2020-04-11,US,2480
847,2020-03-29,Italy,646
849,2020-03-29,Spain,2424
851,2020-03-29,France,1502
853,2020-03-30,Italy,1590
855,2020-03-30,Spain,2071
857,2020-03-30,France,738
859,2020-03-31,Italy,1109
861,2020-03-31,Spain,2479
863,2020-03-31,France,1549
865,2020-04-01,Italy,1118
867,2020-04-01,Spain,3388
869,2020-04-01,France,1540
871,2020-04-02,Italy,1431
873,2020-04-02,Spain,4096
875,2020-04-02,France,1495
877,2020-04-03,Italy,1480
879,2020-04-03,Spain,3770
881,2020-04-03,France,1587
883,2020-04-04,Italy,1238
885,2020-04-04,Spain,3706
887,2020-04-04,France,1437
914,2020-04-09,"Korea, South",197
917,2020-04-09,France,1961
930,2020-04-11,United Kingdom,34
933,2020-04-11,US,2480
