"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
63,69,0.950493342949101,0.0174586227143447,0.916579808975178,0.921959927261927,0.938660141287898,0.950386451997977,0.962210020809979,0.979391373598699,0.985014326804059
64,70,0.943589593017801,0.0175009098004351,0.909596906170644,0.914988871245181,0.931727174212803,0.943481397815931,0.955334066253063,0.972559378685951,0.978197141612527
65,71,0.936980787304038,0.0175697624532652,0.902857787923804,0.908269610494691,0.925071063281012,0.936870969997273,0.948770797492631,0.966066561174377,0.971727866620148
66,72,0.928012732009075,0.017635690022658,0.89376593390174,0.899196383261626,0.916057531165502,0.927901019854383,0.939846153437562,0.957210141339105,0.962894378192693
67,73,0.918347412421702,0.017719603611818,0.883942586209529,0.889396924594156,0.906334412961882,0.918233447771809,0.930236177013916,0.947686644325636,0.95339988730505
68,74,0.911277705185943,0.0178544666472767,0.876616094777701,0.882109938639929,0.899172335140484,0.911161101606636,0.923255963655206,0.940843217467211,0.946601960916309
69,75,0.910015932979079,0.0180635534016865,0.874952840723984,0.880509268240141,0.897767980937366,0.909896416997711,0.922133598615965,0.939930277951049,0.945758221330006
70,76,0.919135489035055,0.0183753611057,0.883469642292997,0.889120995833429,0.906675654239143,0.919013038499969,0.931461838437067,0.94956767252024,0.955497208567088
71,77,0.935666931620568,0.018728327292109,0.899316420556016,0.905076159227041,0.92296768051189,0.935541979067943,0.948229969846909,0.966683928916752,0.972727534154235
72,78,0.954615643722632,0.0190504478900319,0.917638828635284,0.923498063503424,0.941698171619657,0.95448892221571,0.96739497456859,0.986165482908521,0.992312603071556
73,79,0.976642480978495,0.0193441964097719,0.939092746469365,0.945043418549552,0.963526338449984,0.976514768179659,0.989619401606401,1.00867718375055,1.01491799320562
74,80,1.00182069584118,0.0196021366719046,0.963765770550714,0.969797569352806,0.988530492524008,1.00169285026129,1.01497153247973,1.03427991557991,1.04060215351665
75,81,1.02479133744467,0.0197624163446042,0.986419931942185,0.992503156615414,1.01139345140971,1.02466430524554,1.03805074344561,1.05751283698164,1.0638846530787
76,82,1.04206418381212,0.0198030913753077,1.00360850267007,1.00970634657324,1.0286397056992,1.04193874239167,1.05535191599213,1.07484991344005,1.08123273496083
77,83,1.05416150036835,0.0197531862461375,1.01579773061914,1.02188218771709,1.04077178107903,1.05403812261048,1.06741672332839,1.08686166604118,1.0932264126421
78,84,1.0584452584636,0.0196075634031743,1.02036032098693,1.02640150326141,1.0451549908913,1.05832418505578,1.07160354169559,1.0909020063177,1.09721824316056
79,85,1.05278363859473,0.0193734695030801,1.01515112856459,1.02112108351409,1.03965246419786,1.05266480322851,1.06578526836758,1.0848515521497,1.09109147733288
80,86,1.03461820437808,0.0190585584207517,0.997597741958446,1.00347052194512,1.02170041084211,1.03450118171126,1.04740842934915,1.06616506200078,1.07230369412268
81,87,1.00699142973496,0.0187252071174254,0.970621601009119,0.97639042778066,0.99429900175319,1.00687536578924,1.01955733429064,1.03798833660553,1.04402083742231
82,88,0.979268837461862,0.0184800602485257,0.94338002057128,0.949071395963163,0.966741672888662,0.979152592427608,0.991669281231999,1.00986280160793,1.01581826233424
83,89,0.957918096703224,0.0183739974471989,0.922240686785029,0.927897247132157,0.945461821549952,0.957800620960169,0.970246309471281,0.988339667008621,0.994263108488949
84,90,0.943057282845503,0.0183821002733351,0.907369589084415,0.913026485965251,0.930594503560038,0.942937850722018,0.955389867097794,0.973495473881924,0.979423696268115
85,91,0.94007953957712,0.0185365590254003,0.904095970439744,0.909798817998141,0.92751129857815,0.939957707296543,0.952514969117754,0.970775842491959,0.97675546812799
86,92,0.952198747161814,0.0188342001347801,0.915638497672417,0.921432477460652,0.939428492985573,0.952074571800849,0.964833635655385,0.983388590671149,0.989464671510413
87,93,0.973882748674119,0.0191732978906071,0.93666256876206,0.942561533135673,0.960882886862479,0.973756926920026,0.986745450030024,1.00563315401408,1.01181795974856
88,94,0.993359810099599,0.0194105944501358,0.955676253970416,0.961649304873328,0.980199561799814,0.993233383049766,1.00638223808158,1.025501569835,1.03176183727258
89,95,1.00270839236321,0.0194856841876591,0.964877063621846,0.970874010780173,0.989497603569515,1.00258217308454,1.01578158732047,1.03497331971915,1.04125701144562
90,96,1.00308587014931,0.0194526576724157,0.965317915638189,0.97130499410282,0.989897610949989,1.002960125695,1.01613705312145,1.03529567229486,1.04156841664069
91,97,1.00002115851757,0.0193968720326545,0.962361581083662,0.968331463297294,0.986870707621633,0.999895751085876,1.01303490058103,1.03213863022154,1.0383934126678
92,98,0.994712437504685,0.0193376024816395,0.957168743858261,0.963120063515383,0.981602019149899,0.994587130102687,1.00768625607661,1.02673224677083,1.03296823939427
93,99,0.982972507386454,0.0192370261510206,0.945626464058592,0.951545887012487,0.969929835410168,0.982847019042943,0.995878382348747,1.01482718025696,1.0210316871826
94,100,0.962073542166877,0.0190856053294113,0.925026335555443,0.930897235163415,0.949132629649847,0.961947338427903,0.974876877839213,0.993680341971394,0.99983795066473
95,101,0.935435917291055,0.0189412284025662,0.89867638042498,0.904499931797,0.922591524372917,0.935308076210553,0.94814094852477,0.966807980749072,0.972921960723126
96,102,0.910826052440648,0.0188937159753784,0.874167645807465,0.879973058324232,0.898012226751847,0.910695415202581,0.92349746837545,0.942124662524704,0.948226855700169
97,103,0.887578313882179,0.0189232332341385,0.850873048594434,0.856683411260699,0.874742543580105,0.88744383594247,0.900267487703571,0.918931933525386,0.925047801834294
98,104,0.864781525572105,0.0190119278650503,0.827916280160349,0.833749106245409,0.85188336476161,0.864642205972852,0.877527812037206,0.896289177351953,0.902438507954432
99,105,0.839933605375552,0.0191289636881825,0.802855843442201,0.808718873292111,0.826953383177866,0.839788393103045,0.852755529670116,0.871643670474022,0.877836591282801
100,106,0.815084308679348,0.0193030911286298,0.777685772750057,0.783595557410071,0.801982845880756,0.814931933055263,0.828019664871786,0.847092827958,0.853348776590783
101,107,0.797674198898775,0.0196254906570086,0.759668302991067,0.765669970614717,0.784350739196892,0.797513253463136,0.810822210118149,0.830227427776011,0.836594727462163
102,108,0.794838633723217,0.0201694121350092,0.755794283894111,0.761956411653598,0.781143180191036,0.794668037394134,0.808348118391667,0.828302776642255,0.834852460547782
103,109,0.802414920719228,0.0208437038424968,0.762077232266919,0.768440643981598,0.788259413196586,0.802234447748592,0.816373692889962,0.837004808600121,0.843778213450453
104,110,0.817174353973138,0.0215794391266435,0.775421732150179,0.782006247353371,0.802517558829965,0.81698440962723,0.831624089035932,0.852990379609447,0.860006404353111
105,111,0.832325197862233,0.0222686987211166,0.789246370781616,0.7960382803957,0.817198901368108,0.83212660805496,0.847235009873355,0.869289524937051,0.87653258424798
106,112,0.848598629484298,0.0229267260923968,0.804252599388237,0.811242936910878,0.833024306554522,0.848392166731591,0.86394788563948,0.88665858711843,0.894117959571716
107,113,0.869285163868321,0.0235978449755113,0.823643935240563,0.830837747002667,0.853254410903387,0.869071642081888,0.885083154985352,0.908460924889863,0.916139807917196
108,114,0.896532835880065,0.0242928040234338,0.849546309546948,0.856952436884125,0.880030187561352,0.896313429659269,0.91279630766551,0.936861651415175,0.94476621812124
109,115,0.92094131451159,0.0248540225337184,0.872866708507574,0.880444953824809,0.904057890946562,0.920717740450962,0.937581018112877,0.962200308632317,0.970286461788813
110,116,0.933532596928657,0.0251755019381702,0.884835687467853,0.89251214161519,0.916430877813904,0.933306295752126,0.950387623221517,0.975324988136342,0.98351554551226
111,117,0.932043776317798,0.0252828822745637,0.883142988433845,0.890850675025957,0.914868413310381,0.931815176091262,0.948969940339898,0.97401665582748,0.982243668375558
112,118,0.929580405949304,0.025413173659729,0.880432769103336,0.888178143241013,0.912315589493713,0.929348831653308,0.946592781430865,0.971772591770923,0.980044048011418
113,119,0.937522273019793,0.0257169288739138,0.887789463772354,0.895626519302735,0.920050680208467,0.93728713871881,0.954737544098092,0.980220093404752,0.988591318421807
114,120,0.955538520718832,0.026132592473048,0.904999824158494,0.912964360497666,0.937784909689374,0.955300301781599,0.973032447401652,0.998925269592333,1.00743098307783
